geometry,gamma_mc_min,G_low,A,P,A_over_P,G_pred,ratio_to_rect,pred_ratio_to_rect
diverging,0.01,3.079418406689272,0.2741123014302674,2.819715538847118,0.09721274988694154,1.074657713018248,8.778929627597849,1.486869009520771
dogleg,0.01,0.1582552431474293,0.633161851998417,4.81203007518797,0.131578947368421,1.454565690454665,0.451160400863921,2.012500000000001
rectangle,0.01,0.3507737887553706,0.150752821904385,2.305764411027569,0.06538084341288002,0.7227655604743676,1,1
