device,mesh_file,output_h5,length,width,current_bulk,jump_bottom,jump_top,Rc_bottom,Rc_top,Rc_total,R_bulk,R_total
rectangle_halfheight,rectangle_halfheight.inp,observables_bias=1.0_device=rectangle_halfheight_gamma_mc=1000.0_gamma_mr=0.0_p_scatter=1.0.h5,0.5,0.15,0.3080175397361239,0.4799914439840246,0.47999132033680386,1.5583250369288364,1.5583246354996814,3.116649672428518,0.12991869136236195,3.2465683637908795
rectangle,rectangle.inp,observables_bias=1.0_device=rectangle_gamma_mc=1000.0_gamma_mr=0.0_p_scatter=1.0.h5,1.0,0.15,0.29575444942834245,0.46156202490194753,0.461562074085205,1.5606258022291501,1.560625968526758,3.121251770755908,0.2599315112974268,3.381183282053335
