bias,bias_squared,integrated_jx,integrated_jx_over_bias
0.001,1.0e-6,9.19553255685181e-5,0.0919553255685181
0.002,4.0e-6,0.0001839323199806122,0.09196615999030609
0.005,2.5e-5,0.0004598615650285715,0.0919723130057143
0.01,0.0001,0.0009197497890234706,0.09197497890234706
0.02,0.0004,0.0018395365974892975,0.09197682987446487
0.05,0.0025000000000000005,0.004598799056478963,0.09197598112957925
0.1,0.010000000000000002,0.009197378725965821,0.09197378725965821
