y,a0_mean_over_x,b1_mean_over_x,a0_bulk_fit
-0.5,0.07666740759238694,0.2874815998500898,0.03843797509805247
-0.4974937343358396,0.05736032149571602,0.2942081309979941,0.03824530366694257
-0.4949874686716792,0.04467050050367748,0.29803754871081883,0.03805263223583268
-0.4924812030075188,0.037441316851359596,0.2995418616952107,0.037859960804722786
-0.4899749373433584,0.03451624735168977,0.29929296969604585,0.0376672893736129
-0.487468671679198,0.034738873537600676,0.29786266279649004,0.037474617942503
-0.4849624060150376,0.03694167892961974,0.29582288200420875,0.037281946511393105
-0.4824561403508772,0.03998993387331364,0.29374427663100217,0.037089275080283216
-0.4799498746867168,0.04271823716870862,0.29219890006556537,0.03689660364917332
-0.4774436090225564,0.04397056217178428,0.2917581457502093,0.03670393221806343
-0.474937343358396,0.042590987284409076,0.29299330264034007,0.036511260786953534
-0.4724310776942356,0.03742368797266384,0.2964755639827833,0.036318589355843645
-0.4699248120300752,0.02806516151854818,0.30221556339145383,0.03612591792473375
-0.4674185463659148,0.03563656303066405,0.29612709041347257,0.03593324649362385
-0.4649122807017544,0.03650696492024905,0.2955164901284338,0.03574057506251396
-0.462406015037594,0.036812582152048454,0.29523826628302763,0.03554790363140407
-0.4598997493734336,0.03667888907368857,0.29521604311543453,0.03535523220029418
-0.4573934837092732,0.03623135950905168,0.29537344922354597,0.03516256076918428
-0.4548872180451128,0.0355954667614926,0.2956341175380319,0.034969889338074385
-0.4523809523809524,0.034896683616974046,0.29592168529465124,0.034777217906964496
-0.449874686716792,0.034260482347482094,0.2961597940081195,0.0345845464758546
-0.4473684210526316,0.03381233471411928,0.2962720894439281,0.03439187504474471
-0.4448621553884712,0.03367771197041486,0.296182221591532,0.034199203613634814
-0.4423558897243108,0.033982084865585384,0.2958138446370466,0.034006532182524925
-0.4398496240601504,0.03478783674817895,0.29513774997515296,0.03381386075141503
-0.43734335839599,0.033968006071952356,0.29565482408053567,0.03362118932030513
-0.4348370927318296,0.033564448138670835,0.29575616454254455,0.03342851788919524
-0.4323308270676692,0.03324562501586365,0.29581039531480324,0.03323584645808535
-0.4298245614035088,0.032995218208427435,0.2958271745524156,0.03304317502697546
-0.4273182957393484,0.03279690910101852,0.2958161615257996,0.03285050359586556
-0.424812030075188,0.03263437895794925,0.2957870166204091,0.032657832164755665
-0.4223057644110276,0.03249130892307137,0.2957494013366144,0.032465160733645776
-0.4197994987468672,0.032351380019687834,0.2957129782891312,0.03227248930253588
-0.41729323308270677,0.03219827315042713,0.29568741120715686,0.03207981787142599
-0.41478696741854637,0.03201566909715058,0.29568236493384836,0.031887146440316094
-0.41228070175438597,0.03178724852083796,0.29570750542621704,0.031694475009206205
-0.40977443609022557,0.031496691961484885,0.29577249975482317,0.03150180357809631
-0.40726817042606517,0.031158038351466497,0.2958621726728123,0.03130913214698641
-0.40476190476190477,0.03109911208342225,0.29576505052097407,0.031116460715876527
-0.40225563909774437,0.03092688534792753,0.29575243438191917,0.03092378928476663
-0.39974937343358397,0.03074454534900219,0.2957461048642176,0.030731117853656738
-0.39724310776942356,0.030554224939543656,0.29574471290388193,0.030538446422546845
-0.39473684210526316,0.030358056955025553,0.2957469095266233,0.030345774991436952
-0.39223057644110276,0.030158174213496897,0.29575134584772983,0.03015310356032706
-0.38972431077694236,0.02995670951556306,0.29575667307221987,0.029960432129217167
-0.38721804511278196,0.029755795644414613,0.2957615424946498,0.02976776069810727
-0.38471177944862156,0.029557565365802212,0.2957646054992191,0.029575089266997378
-0.38220551378446116,0.029364151428045996,0.2957645135597565,0.029382417835887485
-0.37969924812030076,0.02917768656202958,0.2957599182396502,0.029189746404777592
-0.37719298245614036,0.02900030348120286,0.2957494711918788,0.0289970749736677
-0.37468671679197996,0.028819220464983565,0.29574165195851765,0.028804403542557807
-0.37218045112781956,0.02861180753400218,0.29575397946498483,0.02861173211144791
-0.36967418546365916,0.028416241648209134,0.2957553425602619,0.028419060680338018
-0.36716791979949875,0.02822206651738189,0.295755968416628,0.028226389249228125
-0.36466165413533835,0.028029002453981006,0.29575601652372413,0.028033717818118233
-0.36215538847117795,0.027836769769541424,0.29575564637559937,0.02784104638700834
-0.35964912280701755,0.02764508877467261,0.29575501747074606,0.027648374955898444
-0.35714285714285715,0.027453679779042343,0.29575428931205416,0.02745570352478855
-0.35463659147869675,0.02726226309139569,0.29575362140685224,0.027263032093678658
-0.35213032581453635,0.02707055901954618,0.2957531732669011,0.027070360662568765
-0.34962406015037595,0.02687828787037386,0.29575310440836405,0.026877689231458873
-0.34711779448621555,0.02668516994982486,0.29575357435184396,0.02668501780034898
-0.34461152882205515,0.02649092556291865,0.2957547426223559,0.026492346369239084
-0.34210526315789475,0.026295300250683017,0.29575674440588196,0.02629967493812919
-0.33959899749373434,0.026105424606869952,0.2957547409421425,0.026107003507019298
-0.33709273182957394,0.02591330655180357,0.295754469195444,0.025914332075909405
-0.33458646616541354,0.025720984732874094,0.29575431930998447,0.025721660644799513
-0.33208020050125314,0.025528497383062575,0.29575426721052217,0.02552898921368962
-0.32957393483709274,0.025335882735297702,0.2957542888219593,0.025336317782579724
-0.32706766917293234,0.025143179022444295,0.29575436006932593,0.02514364635146983
-0.32456140350877194,0.02495042447730889,0.29575445687778457,0.02495097492035994
-0.32205513784461154,0.0247576573326453,0.29575455517264043,0.024758303489250046
-0.31954887218045114,0.024564915821150654,0.2957546308793345,0.024565632058140153
-0.31704260651629074,0.024372238175470344,0.2957546599234517,0.02437296062703026
-0.31453634085213034,0.024179662628187607,0.29575461823070315,0.024180289195920364
-0.31203007518796994,0.023987227411825292,0.29575448172693447,0.02398761776481047
-0.30952380952380953,0.02379497075885298,0.29575422633813164,0.02379494633370058
-0.30701754385964913,0.02360213050883885,0.29575440663161107,0.023602274902590686
-0.30451127819548873,0.023409413638576466,0.2957544450187023,0.023409603471480793
-0.30200501253132833,0.023216722709744862,0.29575446706410013,0.0232169320403709
-0.29949874686716793,0.023024052819514283,0.29575447580361647,0.023024260609261004
-0.29699248120300753,0.02283139906504688,0.29575447427306145,0.02283158917815111
-0.29448621553884713,0.02263875654351384,0.29575446550824325,0.02263891774704122
-0.29197994987468673,0.02244612035208006,0.29575445254496224,0.022446246315931326
-0.2894736842105263,0.022253485587911265,0.29575443841902077,0.022253574884821433
-0.2869674185463659,0.02206084734817409,0.29575442616621905,0.02206090345371154
-0.2844611528822055,0.021868200730036823,0.2957544188223556,0.021868232022601644
-0.2819548872180451,0.02167554083066451,0.2957544194232332,0.02167556059149175
-0.2794486215538847,0.02148286274722344,0.2957544310046393,0.02148288916038186
-0.2769423558897243,0.021290161576883033,0.29575445660236743,0.021290217729271966
-0.2744360902255639,0.021097437843317763,0.2957544959261336,0.021097546298162073
-0.2719298245614035,0.020904832324126925,0.2957544499463394,0.02090487486705218
-0.2694235588972431,0.020712174310200684,0.29575444551033475,0.020712203435942284
-0.2669172932330827,0.02051951201130903,0.2957544432481491,0.02051953200483239
-0.2644110275689223,0.02032684618055418,0.2957544427249456,0.0203268605737225
-0.2619047619047619,0.02013417757103902,0.29575444350588603,0.020134189142612606
-0.2593984962406015,0.019941506935866313,0.2957544451561284,0.019941517711502713
-0.2568922305764411,0.019748835028138834,0.29575444724083455,0.01974884628039282
-0.2543859649122807,0.01955616260095941,0.2957544493251634,0.019556174849282924
-0.2518796992481203,0.019363490407430874,0.2957544509742735,0.01936350341817303
-0.24937343358395989,0.01917081920065604,0.2957544517533235,0.019170831987063135
-0.24686716791979949,0.018978149733737803,0.2957544512274702,0.018978160555953243
-0.24436090225563908,0.018785482759779013,0.29575444896187075,0.01878548912484335
-0.24185463659147868,0.018592819031882778,0.2957544445216823,0.018592817693733457
-0.23934837092731828,0.018400145949268986,0.2957544470672044,0.018400146262623564
-0.23684210526315788,0.01820747363125962,0.2957544480668597,0.01820747483151367
-0.23433583959899748,0.018014801815699772,0.295754448711302,0.018014803400403775
-0.23182957393483708,0.017822130408493092,0.2957544490618388,0.017822131969293883
-0.22932330827067668,0.017629459315543227,0.2957544491797788,0.01762946053818399
-0.22681704260651628,0.017436788442753856,0.2957544491264299,0.017436789107074097
-0.22431077694235588,0.017244117696028648,0.29575444896309994,0.017244117675964205
-0.22180451127819548,0.01705144698127129,0.2957544487510968,0.017051446244854312
-0.21929824561403508,0.016858776204385476,0.29575444855172833,0.016858774813744416
-0.21679197994987467,0.01666610527127492,0.2957544484263024,0.016666103382634523
-0.21428571428571427,0.01647343408784334,0.29575444843612614,0.01647343195152463
-0.21177944862155387,0.016280762559994447,0.29575444864250783,0.016280760520414737
-0.20927318295739347,0.016088090593632018,0.2957544491067545,0.016088089089304845
-0.20676691729323307,0.01589541809465979,0.2957544498901741,0.015895417658194952
-0.20426065162907267,0.01570274769223248,0.29575444912160476,0.015702746227085056
-0.20175438596491227,0.015510076515582867,0.295754449018564,0.015510074795975163
-0.19924812030075187,0.015317405248814092,0.2957544489499719,0.01531740336486527
-0.19674185463659147,0.015124733906020576,0.29575444890870767,0.015124731933755377
-0.19423558897243107,0.014932062501296795,0.29575444888765173,0.014932060502645483
-0.19172932330827067,0.014739391048737192,0.295754448879684,0.01473938907153559
-0.18922305764411027,0.014546719562436224,0.29575444887768415,0.014546717640425698
-0.18671679197994986,0.014354048056488353,0.2957544488745324,0.014354046209315803
-0.18421052631578946,0.014161376544988028,0.29575444886310837,0.01416137477820591
-0.18170426065162906,0.013968705042029708,0.29575444883629215,0.013968703347096018
-0.17919799498746866,0.013776033561707843,0.2957544487869637,0.013776031915986123
-0.17669172932330826,0.013583362118116902,0.29575444870800266,0.01358336048487623
-0.17418546365914786,0.013390690725351333,0.2957544485922893,0.013390689053766338
-0.17167919799498746,0.013198019471401225,0.2957544484155272,0.013198017622656443
-0.16917293233082706,0.013005347671267741,0.29575444854914573,0.01300534619154655
-0.16666666666666666,0.012812676120203032,0.29575444852889476,0.012812674760436658
-0.16416040100250626,0.012620004573770825,0.2957544485084128,0.012620003329326763
-0.16165413533834586,0.012427333030765915,0.2957544484893018,0.01242733189821687
-0.15914786967418545,0.012234661489983095,0.29575444847316623,0.012234660467106978
-0.15664160401002505,0.012041989950217184,0.29575444846160903,0.012041989035997083
-0.15413533834586465,0.01184931841026298,0.2957544484562339,0.01184931760488719
-0.15162907268170425,0.011656646868915288,0.29575444845864385,0.011656646173777298
-0.14912280701754385,0.01146397532496891,0.2957544484704427,0.011463974742667403
-0.14661654135338345,0.011271303777218657,0.29575444849323346,0.01127130331155751
-0.14411027568922305,0.011078632224459319,0.2957544485286202,0.011078631880447618
-0.14160401002506265,0.010885960665485715,0.29575444857820565,0.010885960449337723
-0.13909774436090225,0.010693289099092647,0.2957544486435934,0.01069328901822783
-0.13659147869674185,0.010500617577944998,0.2957544486936334,0.010500617587117938
-0.13408521303258145,0.01030794604666884,0.29575444875141366,0.010307946156008043
-0.13157894736842105,0.010115274523138039,0.2957544488191969,0.01011527472489815
-0.12907268170426064,0.009922603007854712,0.2957544488957981,0.009922603293788256
-0.12656641604010024,0.009729931501320989,0.29575444898003245,0.009729931862678363
-0.12406015037593984,0.00953726000403898,0.29575444907071513,0.00953726043156847
-0.12155388471177944,0.0093445885165108,0.2957544491666613,0.009344589000458576
-0.11904761904761904,0.009151917039238571,0.29575444926668604,0.009151917569348684
-0.11654135338345864,0.008959245572724416,0.2957544493696045,0.00895924613823879
-0.11403508771929824,0.008766574117470439,0.29575444947423185,0.008766574707128896
-0.11152882205513784,0.00857390267397877,0.2957544495793834,0.008573903276019004
-0.10902255639097744,0.008381231242751523,0.2957544496838741,0.00838123184490911
-0.10651629072681704,0.008188559824290818,0.2957544497865191,0.008188560413799216
-0.10401002506265664,0.007995888419098766,0.29575444988613353,0.007995888982689324
-0.10150375939849623,0.007803217016075783,0.29575444998742445,0.007803217551579431
-0.09899749373433583,0.007610545630310016,0.2957544500862964,0.007610546120469537
-0.09649122807017543,0.007417874253850336,0.2957544501804173,0.007417874689359644
-0.09398496240601503,0.007225202885875851,0.2957544502692291,0.00722520325824975
-0.09147869674185463,0.007032531525565713,0.2957544503521735,0.007032531827139857
-0.08897243107769423,0.006839860172099035,0.2957544504286938,0.006839860396029964
-0.08646616541353383,0.006647188824654945,0.2957544504982323,0.00664718896492007
-0.08395989974937343,0.00645451748241257,0.29575445056023136,0.006454517533810177
-0.08145363408521303,0.006261846144551032,0.2957544506141338,0.006261846102700284
