gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0121,0.429,0.02179949039129535,0.03356427671547306,0.6494848846614898
0.0121,0.518,0.02204563672857548,0.03345991448752621,0.6588670971288362
0.0121,0.625,0.02233012941487425,0.03335159347961293,0.6695371070807801
0.0121,0.754,0.02265716671930988,0.03324439490294524,0.6815334370036195
0.0121,0.91,0.02303107891975033,0.03314582674005938,0.6948409855746767
0.0121,1.1,0.02346780024892225,0.03308990950378964,0.7092131891818739
0.0121,1.33,0.02394946713259128,0.03304213338859641,0.7248160053992395
0.0121,1.6,0.02448069579739087,0.03302116711189441,0.7413637354014901
0.0121,1.93,0.02510423513261662,0.03311485181253775,0.7580959526780006
0.0121,2.33,0.02577799197281089,0.03325362578807082,0.7751934221277702
0.0121,2.81,0.02656370387543047,0.03355162501461688,0.7917262983196164
0.0121,3.39,0.02741796884519846,0.03393892422626427,0.8078620483786739
0.0121,4.09,0.02839693448476331,0.03450638080341036,0.8229473454937577
0.0121,4.94,0.02951972943741146,0.03527591651862155,0.836823882997583
0.0121,5.96,0.03074974332399246,0.03618470473082738,0.8497994816521294
0.0121,7.2,0.03215484610971232,0.03732230330593073,0.8615450618398124
0.0121,8.69,0.03375435185097582,0.0387023502707679,0.8721525079181217
0.0121,10.5,0.03551110308481597,0.04026242678835215,0.8819911246653733
0.0121,12.6,0.03741664365090482,0.04198414087776921,0.8912089867418747
0.0121,15.3,0.03952366405589577,0.04393114766499445,0.8996729235778494
0.0121,18.4,0.04183410702323244,0.04610080886285704,0.907448438652836
0.0121,22.2,0.04419661635285575,0.04829508135689486,0.9151370100455584
0.0121,26.8,0.04671066048386368,0.05064872580036824,0.9222474947933256
0.0121,32.4,0.04937942834464739,0.05317121821124435,0.928687173358855
0.0121,39.1,0.05193147378201226,0.0555231588315693,0.9353119468499173
0.0121,47.1,0.05468738424919461,0.05812581930249069,0.9408449619367559
0.0121,56.9,0.0571630874941285,0.06037768158551864,0.946758570270092
0.0121,68.7,0.05989872594760813,0.06296839176896561,0.9512506872873576
0.0121,82.90000000000001,0.06239261209698822,0.06528116688082615,0.9557520963264777
0.0121,100,0.06444955176961457,0.06709414073225338,0.9605839059301418
0.0146,0.01,0.02046370944926763,0.03421982164377937,0.598007484150275
0.0146,0.0121,0.02046977549278352,0.03421435461758847,0.5982803335492607
